,bedrooms,bathrooms,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,zipcode,sqft_living15,sqft_lot15,price,age,predicted,expected
0,3,1.0,1.0,0,0,3,7,1180,0,98178,1340,5650,221900,21835,230244,1198224
1,3,2.25,2.0,0,0,3,7,2170,400,98125,1690,7639,538000,23353,519763,1673161
2,2,1.0,1.0,0,0,3,6,770,0,98028,2720,8062,180000,30005,301890,1297276
3,4,3.0,1.0,0,0,5,7,1050,910,98136,1360,5000,604000,18239,531328,1564971
4,3,2.0,1.0,0,0,3,8,1680,0,98074,1800,7503,510000,10275,505654,1469984
5,4,4.5,1.0,0,0,3,11,3890,1530,98053,4760,101930,1230000,4879,1182986,2149995
6,3,2.25,2.0,0,0,3,7,1715,0,98003,2238,6819,257500,7117,244521,1095133
7,3,1.5,1.0,0,0,3,7,1060,0,98198,1650,9711,291850,19007,199339,985869
8,3,1.0,1.0,0,0,3,7,1050,730,98146,1780,8113,229500,20193,307686,1406418
9,3,2.5,2.0,0,0,3,7,1890,0,98038,2390,7570,323000,4453,321857,1256887
10,3,2.5,1.0,0,0,3,8,1860,1700,98007,2210,8925,662500,18354,737477,2064102
11,2,1.0,1.0,0,0,4,7,860,300,98115,1330,6000,468000,26444,490186,1576623
12,3,1.0,1.5,0,0,4,7,1430,0,98028,1780,12697,310000,31924,369960,1355973
13,3,1.75,1.0,0,0,4,7,1370,0,98074,1370,10208,400000,13793,449770,1384664
14,5,2.0,1.5,0,0,3,7,1810,0,98107,1360,4850,530000,42073,593538,2231215
15,4,3.0,2.0,0,3,3,9,1980,970,98126,2140,4000,650000,13172,814582,2038317
16,3,2.0,2.0,0,0,3,7,1890,0,98019,1890,14018,395000,7516,359298,1206041
17,4,1.0,1.5,0,0,4,7,1600,0,98103,1610,4300,485000,35943,598135,2243601
18,2,1.0,1.0,0,0,4,7,1200,0,98002,1060,5095,189000,34306,195892,1124413
19,3,1.0,1.0,0,0,4,7,1250,0,98003,1280,8850,230000,16914,221500,1002500
20,4,1.75,1.0,0,0,4,7,860,760,98133,1400,4980,385000,24605,367745,1336644
21,3,2.75,1.0,0,4,3,9,2330,720,98040,4110,20336,2000000,17039,1336304,2819100
22,5,2.5,2.0,0,0,3,8,2270,0,98092,2240,7005,285000,7123,319847,1105549
23,2,1.5,1.0,0,0,3,7,1070,0,98030,1220,8386,252700,10727,203751,937500
24,3,2.25,2.0,0,0,4,8,2450,0,98030,2200,6865,329000,10915,380958,1209674
25,3,2.0,1.5,0,0,5,6,1710,0,98002,1030,4705,233000,26969,229636,1181114
26,3,1.75,2.0,0,0,3,8,1750,700,98119,1760,3573,937000,36336,786680,2394999
27,3,1.0,1.5,0,0,5,8,1400,0,98112,1860,3861,667000,38685,774570,2409234
28,3,1.75,1.0,0,0,3,7,790,730,98115,1520,6235,438000,24281,490720,1729286
29,4,2.5,2.0,0,0,3,8,2570,0,98052,2630,6026,719000,3712,634259,1679525
30,3,2.5,2.0,0,0,3,8,2320,0,98027,2580,3980,580500,4331,549041,1535559
31,2,1.5,3.0,0,0,3,7,1190,0,98133,1390,1756,280000,3621,292974,1227213
32,4,1.75,1.5,0,0,4,7,1510,820,98117,1460,5000,687500,31220,628846,1879162
33,3,1.0,1.5,0,0,4,8,1090,0,98117,1570,5080,535000,31359,551940,1629128
34,4,2.75,1.0,0,0,3,7,1280,780,98058,2020,8720,322500,12389,320728,1215681
35,3,2.5,1.5,0,0,3,8,1510,790,98115,1590,3264,696000,30844,693662,1867998
36,4,1.0,1.0,0,0,1,5,930,730,98052,2160,11467,550000,29732,350380,1502137
37,4,2.0,2.0,0,0,4,8,2360,0,98107,1730,4700,640000,40541,786747,2356210
38,4,1.0,1.0,0,0,2,7,890,330,98001,1290,7800,240000,16844,146895,1114803
39,4,2.5,2.0,0,0,3,8,2620,0,98056,2620,11884,605000,6745,488848,1786102
40,4,2.5,2.0,0,0,3,9,2570,0,98074,2470,5669,625000,5309,632646,1643668
41,4,2.25,1.0,0,0,3,8,2600,1620,98166,2410,30617,775000,11180,617440,1589813
42,5,2.75,2.0,0,0,3,9,3595,0,98053,3625,5639,861990,187,813194,1775188
43,3,1.0,2.0,0,0,3,7,1570,0,98119,1580,2640,685000,33903,621826,2211592
44,3,1.0,1.0,0,0,4,6,920,360,98058,1340,8808,309000,20298,212575,1077147
45,3,2.5,2.0,0,0,3,8,3160,0,98019,3050,9232,488000,4216,562256,1592897
46,3,1.0,1.0,0,0,3,6,990,0,98023,1228,8840,210490,17980,185548,855561
47,4,2.5,2.0,0,0,4,9,2290,0,98007,2680,13685,785000,12249,740646,1812653
48,3,1.75,1.0,0,0,4,7,1250,0,98115,970,5100,450000,22762,507302,1701021
49,3,2.5,1.0,1,2,5,9,2165,588,98070,2680,72513,1350000,22714,994096,2334427
50,3,1.0,1.0,0,0,3,7,1190,0,98148,1190,9364,228000,21808,224270,1200013
51,5,2.5,1.0,0,0,4,8,1640,1510,98056,1990,9133,345000,17944,502336,1841239
52,3,1.75,1.0,0,0,4,7,1000,410,98117,1410,4080,600000,23740,512727,1716047
53,2,1.75,1.0,0,0,3,7,990,990,98117,1480,6738,585000,12453,517219,1701627
54,5,2.25,1.5,0,0,3,8,2130,600,98105,2730,6000,920000,32203,955445,2661173
55,4,2.5,2.0,0,0,3,9,2830,0,98105,1950,5000,885000,7071,1108724,2591519
56,4,2.5,2.0,0,0,3,7,2250,0,98042,2250,4500,292500,2422,312677,1184451
57,3,2.5,2.0,0,0,3,8,2420,0,98042,2690,4750,301000,4479,377276,1244551
58,5,3.25,2.0,0,4,4,8,3250,0,98008,2960,11044,951000,17040,980644,2625437
59,4,3.0,2.0,0,0,3,8,1850,0,98059,2270,8542,430000,8819,393241,1336492
60,3,2.25,1.0,0,3,4,8,1590,560,98166,2570,18900,650000,20432,521650,1443406
61,3,1.75,1.0,0,0,3,7,1260,0,98148,1290,8750,289000,22154,245329,1215469
62,3,1.75,2.0,0,0,5,8,2519,0,98166,2500,9500,505000,15268,520003,1376148
63,3,1.75,3.0,0,0,3,8,1540,0,98115,1580,3090,549000,340,500352,1545617
64,3,2.25,1.0,0,0,3,7,1110,550,98122,1440,4080,425000,12937,509952,2113459
65,3,2.75,1.5,0,0,5,7,1770,1000,98144,1440,4000,317625,32830,677738,2185432
